Num_Lines,Num_Functions,Has_Recursion,Num_Loops,Num_Conditionals,Difficulty
62,1,0,6,10,2
74,0,0,3,2,2
6,3,0,7,8,2
95,0,1,7,3,2
21,6,1,4,9,2
13,4,1,1,1,1
84,6,1,10,7,2
46,3,0,8,7,2
45,8,1,0,7,2
76,7,0,0,3,2
82,8,1,9,7,2
87,1,0,1,8,2
23,6,1,5,7,2
87,8,0,4,5,2
86,7,0,4,5,2
68,5,1,10,0,2
49,7,1,8,6,2
22,5,1,6,8,2
52,10,0,10,9,2
53,5,1,7,8,2
20,10,0,7,8,2
28,0,1,0,0,1
25,2,1,4,7,1
9,6,1,5,2,2
51,4,0,10,4,2
100,5,1,0,10,2
67,1,0,5,0,2
92,2,1,6,1,2
62,5,1,3,6,2
55,6,1,4,10,2
51,8,1,6,8,2
97,10,1,9,9,2
52,9,1,9,5,2
32,8,1,1,10,2
12,8,0,4,1,2
95,5,1,10,4,2
17,1,1,5,5,1
24,8,1,5,0,2
20,10,1,0,9,2
53,8,1,7,6,2
28,5,1,10,2,2
9,7,1,10,8,2
36,10,1,0,8,2
16,7,1,7,7,2
71,9,1,8,3,2
68,8,1,5,8,2
55,9,0,3,1,2
91,5,1,10,7,2
10,9,0,0,6,2
54,1,1,10,1,2
95,9,1,8,2,2
27,5,1,6,8,2
53,9,1,5,8,2
57,9,0,6,1,2
88,10,0,6,3,2
12,2,0,9,4,2
92,5,0,2,4,2
77,8,1,6,9,2
35,1,0,3,10,1
69,0,1,0,10,2
66,5,0,5,10,2
36,0,1,2,2,1
48,3,1,4,0,1
12,5,1,5,6,1
10,9,1,10,1,2
75,1,1,7,10,2
87,8,0,1,9,2
77,6,0,7,1,2
45,4,0,0,1,1
23,4,0,10,10,2
45,7,1,0,2,2
69,1,0,0,0,2
44,4,0,1,9,1
34,9,1,5,7,2
82,10,0,6,5,2
58,8,0,4,0,2
20,8,0,9,6,2
76,4,0,3,10,2
25,5,0,0,1,1
61,0,0,2,1,2
78,5,0,10,10,2
19,10,1,5,0,2
90,5,1,2,8,2
23,7,1,8,1,2
39,1,1,2,1,1
14,4,0,8,0,2
45,10,1,5,8,2
6,8,0,5,1,2
70,6,0,0,7,2
56,7,1,8,9,2
85,8,1,9,0,2
81,9,0,7,2,2
57,4,0,5,8,2
36,0,1,3,2,1
57,3,1,9,2,2
95,7,0,6,6,2
8,7,0,9,10,2
89,9,1,1,5,2
67,4,1,0,1,2
85,5,1,7,4,2
27,9,0,5,6,2
42,3,1,7,9,2
76,3,1,1,8,2
43,4,0,2,0,0
68,5,0,1,9,2
49,7,1,9,9,2
29,9,1,4,1,2
49,9,0,3,7,2
97,4,0,10,10,2
50,9,0,9,4,2
90,1,0,10,8,2
56,7,0,2,9,2
60,9,0,2,0,2
13,5,0,6,1,2
76,4,0,9,4,2
66,7,0,3,0,2
36,2,1,10,10,2
100,2,1,8,5,2
37,6,1,10,0,2
85,9,1,2,3,2
40,0,1,7,1,2
65,6,1,9,2,2
9,4,1,8,10,2
39,9,0,2,8,2
44,8,1,6,3,2
14,10,0,0,7,2
56,5,0,8,5,2
49,3,1,1,3,1
52,10,1,9,5,2
63,6,0,6,1,2
60,3,0,0,3,2
29,4,0,1,0,1
59,10,0,10,6,2
34,0,1,2,5,1
10,0,1,2,1,1
56,10,1,7,9,2
9,5,1,0,0,0
97,9,0,0,8,2
60,7,1,2,10,2
82,4,1,6,4,2
24,7,0,6,8,2
85,3,1,2,6,2
61,5,0,5,10,2
88,3,1,1,6,2
13,0,1,1,5,1
75,6,1,9,6,2
54,1,0,8,1,2
19,6,0,6,5,2
22,3,0,5,1,1
57,7,1,9,0,2
66,4,0,10,10,2
86,2,0,6,9,2
73,8,0,3,9,2
66,1,0,8,4,2
92,1,1,6,5,2
25,1,0,8,6,2
9,3,0,7,6,2
17,3,1,3,3,1
80,10,1,6,9,2
72,2,1,5,8,2
82,8,1,2,6,2
34,0,0,9,2,2
68,9,1,0,2,2
69,6,1,3,10,2
89,6,0,10,0,2
30,5,1,7,5,2
46,3,1,8,1,2
38,1,0,0,10,1
36,4,0,3,0,1
96,2,0,2,5,2
83,7,1,0,3,2
39,0,1,3,2,1
62,5,1,6,9,2
78,2,0,7,2,2
53,6,0,5,8,2
75,7,1,2,9,2
40,10,0,4,8,2
100,5,0,3,8,2
17,5,0,3,2,0
28,8,0,10,0,2
97,7,1,0,3,2
45,1,0,5,9,1
5,3,0,4,7,1
35,3,0,4,6,1
19,0,0,8,2,2
32,10,0,4,6,2
6,2,0,7,3,2
42,0,1,0,9,1
6,5,0,9,7,2
18,9,0,0,8,2
9,6,0,9,1,2
99,9,0,1,8,2
48,4,0,6,10,2
75,2,0,8,1,2
58,2,1,9,0,2
5,1,1,7,3,2
88,1,1,0,7,2
41,5,0,0,4,1
66,2,0,1,7,2
20,2,1,2,7,1
90,6,0,4,10,2
62,10,1,2,4,2
58,6,0,5,6,2
58,7,0,5,8,2
11,6,0,6,7,2
56,8,0,8,2,2
51,4,1,5,1,2
76,6,0,8,6,2
49,10,0,5,8,2
83,6,0,5,3,2
5,2,0,2,6,0
11,7,0,0,10,2
78,6,0,10,7,2
76,10,0,4,7,2
16,2,1,6,1,2
41,9,1,0,10,2
38,5,1,8,1,2
82,2,1,7,6,2
29,6,0,8,10,2
88,2,1,2,9,2
99,10,1,8,7,2
30,6,1,7,6,2
25,9,1,9,10,2
20,5,1,9,7,2
88,5,1,4,3,2
96,10,0,2,0,2
26,3,0,3,7,1
57,7,0,6,7,2
11,1,0,2,0,0
57,5,1,7,3,2
15,9,0,0,8,2
53,4,1,3,8,2
60,0,0,5,5,2
83,0,1,1,9,2
57,2,0,4,0,2
68,1,1,7,8,2
65,2,0,4,4,2
37,1,0,2,9,1
16,10,1,10,8,2
27,8,0,1,10,2
83,4,1,8,1,2
27,1,1,2,2,1
55,7,0,5,9,2
12,5,0,1,3,1
41,1,1,10,3,2
18,10,0,0,5,2
71,10,0,4,4,2
32,1,0,6,10,2
6,10,1,2,5,2
94,2,0,9,0,2
58,9,1,9,3,2
21,2,1,10,4,2
6,4,0,2,1,0
56,7,1,7,6,2
97,6,1,10,10,2
53,3,1,0,7,2
47,2,1,5,7,1
98,4,1,0,9,2
48,8,1,10,8,2
23,0,1,2,5,1
69,3,1,1,1,2
45,10,0,9,7,2
41,5,1,10,6,2
18,1,1,1,1,1
50,7,1,1,3,2
72,9,0,9,0,2
42,4,1,2,1,1
75,5,0,2,10,2
43,4,0,2,0,1
5,10,0,0,5,2
5,0,1,3,4,1
8,9,0,2,0,2
49,8,0,7,9,2
81,2,1,0,2,2
51,5,0,10,0,2
52,4,0,2,7,2
98,2,0,2,1,2
94,0,1,1,9,2
10,9,0,9,4,2
44,5,0,0,8,0
52,3,0,6,5,2
87,0,0,7,5,2
56,6,0,3,6,2
42,2,1,7,6,2
13,7,1,2,7,2
73,7,0,8,8,2
47,2,1,10,0,2
60,10,0,5,5,2
6,8,0,6,5,2
11,0,1,10,7,2
47,4,1,9,9,2
5,10,1,10,6,2
71,1,0,10,1,2
12,10,1,0,0,2
20,6,0,7,2,2
7,1,1,10,8,2
80,10,1,2,1,2
79,5,0,6,1,2
35,5,1,9,6,2
63,6,1,10,1,2
72,8,1,7,9,2
100,10,1,10,10,2
57,8,0,7,10,2
22,2,1,1,5,1
82,10,0,7,3,2
99,10,0,5,6,2
98,10,1,6,10,2
52,9,1,1,1,2
86,3,0,2,6,2
74,4,1,8,10,2
33,5,0,0,7,1
16,4,0,8,5,2
60,6,0,0,6,2
11,9,1,9,9,2
77,2,0,9,7,2
20,6,0,8,0,2
84,4,0,3,3,2
93,6,0,9,7,2
66,10,0,3,0,2
44,3,1,3,4,1
54,7,0,2,1,2
79,4,0,8,10,2
85,5,0,2,1,2
70,7,1,6,0,2
50,9,0,6,6,2
33,5,1,9,3,2
10,3,1,9,2,2
48,0,0,3,10,1
78,1,0,8,7,2
27,8,1,6,7,2
100,1,0,6,5,2
85,4,1,7,3,2
84,4,0,8,0,2
99,9,0,4,2,2
69,4,0,7,4,2
40,5,0,4,3,1
52,4,0,10,8,2
65,2,0,3,2,2
52,7,0,1,1,2
61,4,0,10,10,2
78,7,0,5,5,2
93,3,0,2,6,2
63,6,1,9,9,2
98,4,0,4,0,2
70,1,1,10,7,2
70,9,1,6,2,2
8,2,0,1,7,0
74,3,0,2,7,2
8,1,1,0,5,1
65,5,0,0,0,2
21,3,1,5,3,1
42,10,1,9,4,2
46,1,0,7,8,2
11,5,0,4,9,1
36,1,1,7,6,2
49,6,0,5,9,2
9,6,1,7,9,2
90,3,1,5,6,2
75,10,0,10,2,2
40,2,0,10,9,2
39,4,0,1,1,1
28,6,1,0,0,2
93,8,1,9,2,2
31,6,1,5,6,2
8,9,0,1,3,2
99,8,1,0,6,2
73,2,1,5,10,2
56,10,0,2,0,2
23,4,0,4,4,1
35,9,1,0,9,2
89,6,1,8,8,2
39,0,0,9,1,2
81,10,0,4,1,2
93,6,0,5,7,2
40,4,0,7,5,2
80,10,0,5,0,2
16,9,0,7,10,2
76,5,0,0,4,2
38,4,0,10,7,2
14,4,1,9,2,2
36,8,0,8,6,2
56,10,0,6,9,2
56,10,1,4,1,2
79,0,1,2,6,2
99,10,1,4,1,2
33,9,1,9,0,2
10,4,1,2,3,1
65,7,0,8,4,2
29,8,0,6,9,2
24,4,1,2,5,1
19,0,0,10,0,2
32,0,1,10,10,2
38,8,0,4,8,2
17,3,1,1,2,1
71,8,1,6,10,2
80,2,0,1,2,2
26,7,0,9,6,2
41,0,0,4,10,1
78,10,1,10,4,2
18,7,1,2,10,2
100,0,0,2,9,2
54,8,0,1,1,2
95,7,1,10,7,2
23,3,0,10,10,2
6,1,1,5,1,1
42,5,0,6,0,2
5,1,1,0,6,1
39,10,1,10,6,2
30,8,1,2,9,2
19,3,1,3,0,1
22,7,1,5,10,2
82,8,1,10,10,2
92,0,0,5,4,2
95,9,1,9,5,2
25,3,0,1,2,1
89,10,0,6,0,2
80,7,1,6,9,2
14,5,0,4,10,1
35,6,0,5,8,2
43,2,0,9,5,2
33,4,1,0,5,1
87,7,0,5,6,2
53,5,1,4,3,2
19,9,0,8,9,2
46,3,1,2,1,1
71,6,0,4,7,2
43,0,0,9,0,2
30,3,0,8,2,2
24,8,1,9,4,2
27,8,1,9,3,2
70,1,1,9,7,2
16,1,0,5,10,1
70,9,0,9,8,2
44,7,1,7,7,2
91,6,0,7,2,2
18,3,0,7,7,2
32,4,0,6,4,2
16,9,1,6,1,2
35,3,1,1,7,1
17,2,0,7,8,2
84,4,0,7,4,2
21,6,1,7,10,2
94,7,1,1,9,2
88,9,0,5,3,2
10,10,1,0,6,2
29,10,1,0,5,2
63,9,1,6,4,2
21,9,1,9,0,2
40,5,1,3,7,1
12,9,0,6,5,2
88,4,0,6,9,2
24,9,0,1,8,2
54,8,1,7,6,2
43,2,1,1,7,1
22,6,0,3,0,2
51,5,0,1,3,2
57,10,0,10,5,2
16,9,1,4,5,2
78,8,1,6,9,2
10,1,1,4,9,1
68,6,1,7,5,2
50,1,0,3,1,2
26,0,0,10,3,2
64,8,1,6,10,2
7,2,1,7,1,2
100,2,0,1,5,2
14,2,0,3,8,1
33,4,1,0,5,1
80,1,1,2,7,2
67,3,0,10,10,2
13,4,1,4,4,1
39,7,1,6,9,2
33,5,1,4,2,1
81,7,0,3,2,2
79,5,0,9,0,2
80,9,0,8,4,2
76,2,1,10,9,2
80,7,1,10,10,2
60,6,1,7,0,2
51,0,1,2,3,2
69,10,0,3,0,2
73,8,1,1,4,2
92,7,1,8,3,2
27,8,0,3,6,2
85,1,1,2,1,2
89,7,1,0,5,2
78,1,1,4,1,2
24,3,0,3,8,1
19,7,1,2,5,2
81,2,0,10,4,2
82,0,0,2,10,2
34,7,1,9,2,2
40,0,0,4,5,1
92,6,0,5,2,2
27,1,1,1,7,1
68,3,1,3,6,2
25,7,1,2,4,2
97,8,0,0,6,2
75,6,1,4,0,2
31,6,1,4,5,2